,Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,type,district,area_comfort
61,46998.0,2,1000.0,5,5,1968,47.0,35.0,8.0,Братиславська,вулиця,"Деснянський, Дніпровський",4.0
62,10092.1,1,672.8,None,None,None,15.0,,,*** not found,,,
63,29256.6,1,978.5,1,5,None,,,,Червоноткацька,,,
64,166000.0,1,3532.0,2,9,None,47.0,22.0,16.0,Златоустівська,,,9.0
65,115000.0,4,1369.0,5,9,1970,84.0,35.0,9.0,Бойченка,,,40.0
66,298000.0,3,2249.0,11,23,2016,,,,Трускавецька,вулиця,Дарницький,
67,43100.0,1,1390.0,8,26,2018,31.0,16.0,5.0,Каховська,вулиця,Дніпровський,10.0
68,179900.0,4,1475.0,19,27,2010,122.0,,,Лобановського,,,
69,96255.3,1,1504.0,None,None,None,64.0,,,*** not found,,,
70,56500.0,3,926.0,6,9,1970,61.0,40.0,7.0,Курчатова,,,14.0
71,110000.0,1,1930.0,19,25,2008,57.0,,,Голосіївська,площа,Голосіївський,
71,110000.0,1,1930.0,19,25,2008,57.0,,,Голосіївська,вулиця,Голосіївський,
72,47000.0,1,1146.0,5,16,1990,41.0,10.0,16.0,Тираспольська,вулиця,Подільський,15.0
73,90000.0,2,2195.0,1,9,None,41.0,28.0,6.0,Лаврська,вулиця,Печерський,7.0
74,44980.0,1,1249.0,19,25,2017,36.0,16.0,14.0,Правди,проспект,Подільський,6.0
75,58000.0,4,921.0,5,9,1968,63.0,40.0,7.0,Миколайчука,,,16.0
76,63000.0,3,863.0,5,9,1982,73.0,41.0,9.0,Порика,,,23.0
77,29256.6,1,978.5,1,5,None,,,,Червоноткацька,,,
78,136000.0,1,3022.0,6,23,2015,45.0,15.0,17.0,Маккейна,,,13.0
79,73860.0,2,1319.0,5,9,None,56.0,30.0,9.0,Йорданська,вулиця,Оболонський,17.0
80,160000.0,2,2712.0,18,24,2019,59.0,,20.0,Тютюнника,,,
81,135000.0,3,1588.0,8,10,2015,85.0,49.0,12.0,Регенераторна,вулиця,Дніпровський,24.0
82,120000.0,1,2400.0,12,23,2015,50.0,18.0,15.0,Зарічна,вулиця,Дарницький,17.0
83,58990.0,1,1450.0,3,34,None,,16.0,10.0,Заболотного,,,
84,90000.0,4,1059.0,4,10,1994,85.0,,,Курнатовського,вулиця,"Дніпровський, Деснянський",
85,187000.0,3,None,2,5,1934,,,,Інститутська,вулиця,Печерський,
86,88000.0,2,1222.0,16,25,2020,72.0,,15.0,Маланюка,,,
87,102000.0,2,1619.0,10,16,2019,63.0,26.0,22.0,Гречка,,,15.0
88,110000.0,1,1833.0,14,24,2018,60.0,21.0,15.0,Липківського,,,24.0
89,160000.0,2,3077.0,3,24,2015,52.0,13.0,18.0,Маккейна,,,21.0
90,225000.0,5,1500.0,23,24,2008,150.0,78.0,18.0,Григоренка,,,54.0
91,75000.0,2,1562.0,4,9,1966,48.0,30.0,7.0,Коновальця,,,11.0
92,59860.0,3,798.0,3,9,None,75.0,40.0,9.0,Закревського,,,26.0
93,43161.0,2,732.0,13,18,None,59.0,30.0,16.0,*** not found,,,13.0
94,140000.0,2,1842.0,13,18,1991,76.0,39.0,,Старонаводницька,вулиця,Печерський,
95,78000.0,1,1418.0,7,26,None,55.0,15.0,18.0,Маланюка,,,22.0
96,230000.0,2,2771.0,6,7,1915,83.0,45.0,11.0,Заньковецької,вулиця,Печерський,27.0
97,178000.0,2,2373.0,2,16,None,75.0,,21.0,Кудрявська,вулиця,Шевченківський,
98,63000.0,3,900.0,23,23,None,70.0,35.0,14.0,,,,21.0
99,495000.0,3,4420.0,11,32,2017,112.0,45.0,54.0,Українки,,,13.0
100,45900.0,2,478.0,31,34,None,96.0,62.0,16.0,,,,18.0
101,33000.0,1,1000.0,14,24,None,33.0,16.0,5.0,Милославська,вулиця,Деснянський,12.0
102,66500.0,3,1147.0,3,5,1961,58.0,42.0,7.0,Донця,,,9.0
103,119900.0,3,1462.0,8,12,2002,82.0,48.0,14.0,Верховинця,,,20.0
104,145000.0,4,1381.0,1,9,1977,105.0,80.0,12.0,Героїв Дніпра,вулиця,Оболонський,13.0
105,118000.0,3,1494.0,17,25,2018,79.0,36.0,35.0,Каховська,вулиця,Дніпровський,8.0
106,41000.0,1,1323.0,21,26,2018,31.0,12.0,8.0,Каховська,вулиця,Дніпровський,11.0
107,59899.0,2,1070.0,8,10,1995,56.0,34.0,8.0,Вишняківська,вулиця,Дарницький,14.0
108,177000.0,2,2565.0,3,4,None,69.0,41.0,8.0,Липська,,,20.0
109,63000.0,1,1286.0,11,25,2019,49.0,16.0,16.0,Сверстюка,,,17.0
110,499000.0,3,4229.0,None,None,None,118.0,,,Драгомирова,,,
111,49500.0,1,1269.0,19,26,None,39.0,17.0,11.0,Причальна,вулиця,Дарницький,11.0
112,275000.0,2,4435.0,22,28,2013,62.0,30.0,20.0,Болсуновська,вулиця,Печерський,12.0
113,93000.0,3,1336.0,13,14,1994,,48.0,,Повітрофлотський,проспект,"Шевченківський, Солом'янський",
114,87500.0,2,1306.0,20,25,2015,67.0,37.0,14.0,Драгоманова,вулиця,Дарницький,16.0
115,110000.0,3,1325.0,4,24,2008,83.0,,30.0,Григоренка,,,
116,900000.0,4,3600.0,23,24,2012,250.0,,,Дніпровська,вулиця,Оболонський,
117,86000.0,1,2205.0,3,8,2014,39.0,,,Жабаєва,,,
118,335000.0,3,2577.0,9,14,2014,130.0,60.0,60.0,Філатова,,,10.0
119,67000.0,2,971.0,3,26,2021,69.0,25.0,21.0,Правди,проспект,Подільський,23.0
120,90000.0,2,1800.0,4,4,1896,50.0,,6.0,Малопідвальна,вулиця,Шевченківський,
121,101500.0,1,2307.0,8,11,None,44.0,22.0,13.0,Бойчука,,,9.0
122,104000.0,3,1169.0,18,26,None,89.0,,40.0,Зарічна,вулиця,Дарницький,
123,190000.0,2,3167.0,9,21,2017,60.0,,25.0,Предславинська,вулиця,Печерський,
124,3600000.0,6,8000.0,25,25,2011,450.0,288.0,45.0,Івана Мазепи,,,117.0
125,63000.0,2,1033.0,10,26,None,61.0,28.0,12.0,Радченка,,,21.0
